subnet,country,datacenter,proxy_type
94.50.17.112/24,RU,,
77.88.5.253/24,RU,,
77.37.168.121/24,RU,,
77.37.170.73/24,RU,,
77.37.169.4/24,RU,,
91.241.128.0/24,RU,,
5.149.218.75/24,ROC,,
91.194.2.0/23,RU,,
195.9.165.246/32,RU,,
77.239.241.102/24,RU,,
93.170.109.240/24,RU,,
93.174.78.0/24,RU,,
85.193.66.0/24,ROC,,
46.34.135.0/24,RU,,
46.34.128.0/23,RU,,
91.103.64.0/21,RU,,
92.38.44.0/22,RU,,
5.59.48.0/22,RU,,
91.204.240.0/22,RU,,
2.56.25.0/24,ROC,,
2.63.144.0/20,ROC,,
2.63.176.0/20,ROC,,
5.59.104.0/24,RU,,
5.101.208.0/24,ROC,,
5.101.209.0/24,ROC,,
5.101.210.0/24,ROC,,
5.101.211.0/24,RU,,
5.101.212.0/24,RU,,
5.101.213.0/24,ROC,,
5.101.214.0/23,ROC,,
5.183.64.0/21,ROC,,
5.188.144.0/22,ROC,,
31.3.24.0/21,ROC,,
31.40.128.70/32,ROC,,
31.40.135.0/24,ROC,,
31.40.142.0/24,ROC,,
31.40.143.0/24,ROC,,
31.40.157.0/24,ROC,,
31.131.64.0/22,ROC,,
31.131.68.0/24,ROC,,
31.131.69.0/25,ROC,,
31.131.69.128/25,ROC,,
31.131.70.0/23,ROC,,
31.131.72.0/23,ROC,,
31.131.76.0/22,ROC,,
31.135.96.0/19,ROC,,
31.148.176.0/22,ROC,,
31.148.180.0/24,ROC,,
31.148.181.0/24,ROC,,
31.148.182.0/23,ROC,,
31.148.184.0/22,ROC,,
31.148.188.0/23,ROC,,
31.148.190.0/23,ROC,,
31.148.218.0/24,ROC,,
31.217.253.0/24,ROC,,
37.75.216.0/22,ROC,,
37.75.220.0/23,ROC,,
37.75.222.0/24,ROC,,
37.75.223.0/24,ROC,,
45.9.140.0/23,ROC,,
45.66.168.0/23,ROC,,
45.66.170.0/23,ROC,,
45.80.240.0/22,ROC,,
45.85.212.0/22,ROC,,
45.88.52.0/24,ROC,,
45.88.53.0/26,ROC,,
45.88.53.128/26,ROC,,
45.88.53.192/29,ROC,,
45.88.53.200/30,ROC,,
45.88.53.204/31,ROC,,
45.88.53.206/32,ROC,,
45.88.53.208/28,ROC,,
45.88.53.224/27,ROC,,
45.88.54.0/25,ROC,,
45.88.252.0/27,ROC,,
45.88.252.32/29,ROC,,
45.88.252.40/31,ROC,,
45.88.252.42/32,ROC,,
45.88.252.44/30,ROC,,
45.88.252.48/28,ROC,,
45.88.252.64/26,ROC,,
45.88.252.128/25,ROC,,
